,Chiefs, 	34,20	,Texans, 
,Bills, 	27,17	,Jets, 
,Falcons, 	25,38	,Seahawks, 
,Jaguars, 	27,20	,Colts, 
,Lions, 	23,27	,Bears, 
,Panthers, 	30,34	,Raiders, 
,Patriots, 	21,11	,Dolphins, 
,Ravens, 	38,6	,Browns, 
,Redskins, 	27,17	,Eagles, 
,Vikings, 	34,43	,Packers, 
,Bengals, 	13,16	,Chargers, 
,Forty-Niners, 	20,24	,Cardinals, 
,Saints, 	34,23	,Buccaneers, 
,Rams, 	20,17	,Cowboys, 
,Giants, 	16,26	,Steelers, 
,Broncos, 	14,16	,Titans, 
,Browns, 	35,30	,Bengals, 
,Bears, 	17,13	,Giants, 
,Buccaneers, 	31,17	,Panthers, 
,Colts, 	28,11	,Vikings, 
,Cowboys, 	40,39	,Falcons, 
,Dolphins, 	28,31	,Bills, 
,Eagles, 	19,37	,Rams, 
,Jets, 	13,49	,Forty-Niners, 
,Packers, 	42,21	,Lions, 
,Steelers, 	26,21	,Broncos, 
,Titans, 	33,30	,Jaguars, 
,Cardinals, 	30,15	,Redskins, 
,Chargers, 	20,23 	,Chiefs, 
,Texans, 	16,33	,Ravens, 
,Seahawks, 	35,30	,Patriots, 
,Raiders, 	34,24	,Saints, 
,Jaguars, 	13,31	,Dolphins, 
,Bills, 	35,32	,Rams, 
,Browns, 	34,20	,Redskins, 
,Eagles, 	23,23 	,Bengals, 
,Falcons, 	26,30	,Bears, 
,Giants, 	9,36	,Forty-Niners, 
,Patriots, 	36,20	,Raiders, 
,Steelers, 	28,21	,Texans, 
,Vikings, 	30,31	,Titans, 
,Chargers, 	16,21	,Panthers, 
,Colts, 	36,7	,Jets, 
,Broncos, 	10,28	,Buccaneers, 
,Cardinals, 	23,26	,Lions, 
,Seahawks, 	38,31	,Cowboys, 
,Saints, 	30,37	,Packers, 
,Ravens, 	20,34	,Chiefs, 
,Jets, 	28,37	,Broncos, 
,Bengals, 	33,25	,Jaguars, 
,Buccaneers, 	38,31	,Chargers, 
,Cowboys, 	38,49	,Browns, 
,Dolphins, 	23,31	,Seahawks, 
,Lions, 	29,35	,Saints, 
,Panthers, 	31,21	,Cardinals, 
,Redskins, 	17,31	,Ravens, 
,Texans, 	23,31	,Vikings, 
,Rams, 	17,9	,Giants, 
,Bears, 	11,19	,Colts, 
,Raiders, 	23,30	,Bills, 
,Forty-Niners, 	20,25	,Eagles, 
,Chiefs, 	26,10	,Patriots, 
,Packers, 	30,16	,Falcons, 
,Bears, 	20,19	,Buccaneers, 
,Chiefs, 	32,40	,Raiders, 
,Falcons, 	16,23	,Panthers, 
,Jets, 	10,30	,Cardinals, 
,Ravens, 	27,3	,Bengals, 
,Redskins, 	10,30	,Rams, 
,Steelers, 	38,29	,Eagles, 
,Texans, 	30,14	,Jaguars, 
,Forty-Niners, 	17,43	,Dolphins, 
,Browns, 	32,23	,Colts, 
,Cowboys, 	37,34	,Giants, 
,Seahawks, 	27,26	,Vikings, 
,Saints, 	30,27 	,Chargers, 
,Titans, 	42,16	,Bills, 
,Colts, 	31,27	,Bengals, 
,Eagles, 	28,30	,Ravens, 
,Giants, 	20,19	,Redskins, 
,Jaguars, 	16,34	,Lions, 
,Panthers, 	16,23	,Bears, 
,Patriots, 	12,18	,Broncos, 
,Steelers, 	38,7	,Browns, 
,Titans, 	42,36 	,Texans, 
,Vikings, 	23,40	,Falcons, 
,Dolphins, 	24,0	,Jets, 
,Buccaneers, 	38,10	,Packers, 
,Forty-Niners, 	24,16	,Rams, 
,Bills, 	17,26	,Chiefs, 
,Cowboys, 	10,38	,Cardinals, 
,Eagles, 	22,21	,Giants, 
,Bengals, 	34,37	,Browns, 
,Falcons, 	22,23	,Lions, 
,Jets, 	10,18	,Bills, 
,Redskins, 	25,3	,Cowboys, 
,Saints, 	27,24	,Panthers, 
,Texans, 	20,35	,Packers, 
,Titans, 	24,27	,Steelers, 
,Raiders, 	20,45	,Buccaneers, 
,Broncos, 	16,43	,Chiefs, 
,Chargers, 	39,29	,Jaguars, 
,Patriots, 	6,33	,Forty-Niners, 
,Cardinals, 	37,34 	,Seahawks, 
,Rams, 	24,10	,Bears, 
,Panthers, 	17,25	,Falcons, 
,Bengals, 	31,20	,Titans, 
,Bills, 	24,21	,Patriots, 
,Browns, 	6,16	,Raiders, 
,Chiefs, 	35,9	,Jets, 
,Dolphins, 	28,17	,Rams, 
,Lions, 	21,41	,Colts, 
,Packers, 	22,28	,Vikings, 
,Ravens, 	24,28	,Steelers, 
,Broncos, 	31,30	,Chargers, 
,Bears, 	23,26 	,Saints, 
,Seahawks, 	37,27	,Forty-Niners, 
,Eagles, 	23,9	,Cowboys, 
,Giants, 	23,25	,Buccaneers, 
,Forty-Niners, 	17,34	,Packers, 
,Bills, 	44,34	,Seahawks, 
,Chiefs, 	33,31	,Panthers, 
,Colts, 	10,24	,Ravens, 
,Falcons, 	34,27	,Broncos, 
,Jaguars, 	25,27	,Texans, 
,Redskins, 	20,23	,Giants, 
,Titans, 	24,17	,Bears, 
,Vikings, 	34,20	,Lions, 
,Chargers, 	26,31	,Raiders, 
,Cardinals, 	31,34	,Dolphins, 
,Cowboys, 	19,24	,Steelers, 
,Buccaneers, 	3,38	,Saints, 
,Jets, 	27,30	,Patriots, 
,Titans, 	17,34	,Colts, 
,Browns, 	10,7	,Texans, 
,Giants, 	27,17	,Eagles, 
,Lions, 	30,27	,Redskins, 
,Packers, 	24,20	,Jaguars, 
,Panthers, 	23,46	,Buccaneers, 
,Cardinals, 	32,30	,Bills, 
,Dolphins, 	29,21	,Chargers, 
,Raiders, 	37,12	,Broncos, 
,Rams, 	23,16	,Seahawks, 
,Saints, 	27,13	,Forty-Niners, 
,Steelers, 	36,10	,Bengals, 
,Patriots, 	23,17	,Ravens, 
,Bears, 	13,19	,Vikings, 
,Seahawks, 	28,21	,Cardinals, 
,Browns, 	22,17	,Eagles, 
,Jaguars, 	3,27	,Steelers, 
,Panthers, 	20,0	,Lions, 
,Ravens, 	24,30 	,Titans, 
,Redskins, 	20,9	,Bengals, 
,Saints, 	24,9	,Falcons, 
,Texans, 	27,20	,Patriots, 
,Broncos, 	20,13	,Dolphins, 
,Chargers, 	34,28	,Jets, 
,Colts, 	34,31 	,Packers, 
,Vikings, 	28,31	,Cowboys, 
,Raiders, 	31,35	,Chiefs, 
,Buccaneers, 	24,27	,Rams, 
,Lions, 	25,41	,Texans, 
,Cowboys, 	16,41	,Redskins, 
,Bengals, 	17,19	,Giants, 
,Bills, 	27,17	,Chargers, 
,Colts, 	26,45	,Titans, 
,Falcons, 	43,6	,Raiders, 
,Jaguars, 	25,27	,Browns, 
,Jets, 	3,20	,Dolphins, 
,Patriots, 	20,17	,Cardinals, 
,Vikings, 	28,27	,Panthers, 
,Broncos, 	3,31	,Saints, 
,Rams, 	20,23	,Forty-Niners, 
,Buccaneers, 	24,27	,Chiefs, 
,Packers, 	41,25	,Bears, 
,Eagles, 	17,23	,Seahawks, 
,Steelers, 	19,14	,Ravens, 
,Bears, 	30,34	,Lions, 
,Dolphins, 	19,7	,Bengals, 
,Falcons, 	16,21	,Saints, 
,Jets, 	28,31	,Raiders, 
,Texans, 	20,26	,Colts, 
,Titans, 	35,41	,Browns, 
,Vikings, 	27,24 	,Jaguars, 
,Cardinals, 	28,38	,Rams, 
,Seahawks, 	12,17	,Giants, 
,Chargers, 	0,45	,Patriots, 
,Packers, 	30,16	,Eagles, 
,Chiefs, 	22,16	,Broncos, 
,Steelers, 	17,23	,Redskins, 
,Forty-Niners, 	24,34	,Bills, 
,Ravens, 	34,17	,Cowboys, 
,Rams, 	24,3	,Patriots, 
,Bears, 	36,7	,Texans, 
,Bengals, 	7,30	,Cowboys, 
,Buccaneers, 	26,14	,Vikings, 
,Dolphins, 	27,33	,Chiefs, 
,Giants, 	7,26	,Cardinals, 
,Jaguars, 	10,31	,Titans, 
,Panthers, 	27,32	,Broncos, 
,Raiders, 	27,44	,Colts, 
,Seahawks, 	40,3	,Jets, 
,Chargers, 	20,17	,Falcons, 
,Eagles, 	24,21	,Saints, 
,Forty-Niners, 	15,23	,Redskins, 
,Lions, 	24,31	,Packers, 
,Bills, 	26,15	,Steelers, 
,Browns, 	42,47	,Ravens, 
,Raiders, 	27,30 	,Chargers, 
,Broncos, 	19,48	,Bills, 
,Packers, 	24,16	,Panthers, 
,Colts, 	27,20	,Texans, 
